(-812, -728, -591)
(-259, 678, -532)
(735, -470, 492)
(-808, -734, -657)
(518, -635, -807)
(-487, 402, 391)
(722, 545, -708)
(-529, -401, 536)
(-326, 616, -504)
(-330, 707, -663)
(878, 574, -722)
(670, -614, -747)
(533, -501, 495)
(-508, 406, 332)
(-797, -541, -583)
(114, 15, -132)
(-522, -438, 589)
(587, -480, 480)
(-639, -447, 471)
(687, 564, -674)
(896, 574, 424)
(-449, 386, 511)
(652, -513, -789)
(819, 586, 254)
(836, 538, 409)
(-504, -659, 1910)
(-600, 426, 1928)
(702, 627, 1533)
(-531, 445, 1952)
(-508, 406, 332)
(45, -56, 1091)
(819, 586, 254)
(587, -480, 480)
(-487, 402, 391)
(-529, -401, 536)
(825, -534, 1944)
(533, -501, 495)
(735, -470, 492)
(-639, -447, 471)
(-396, -640, 1829)
(-449, 386, 511)
(-596, 389, 1858)
(616, 479, 1573)
(-522, -438, 589)
(708, -442, 1960)
(-460, -638, 1886)
(896, 574, 424)
(682, -440, 1932)
(836, 538, 409)
(597, 711, 1594)
(-819, 1960, -415)
(520, 1844, 726)
(637, 1700, -701)
(-487, 402, 391)
(-734, 1797, 540)
(-4, 1101, 3)
(-449, 386, 511)
(896, 574, 424)
(722, 545, -708)
(733, 1733, -711)
(-326, 616, -504)
(-771, 1888, -477)
(-611, 1746, 589)
(-259, 678, -532)
(768, 1750, -746)
(-642, 1773, 378)
(695, 1880, 682)
(-610, 1934, -415)
(819, 586, 254)
(143, 1100, -159)
(878, 574, -722)
(687, 564, -674)
(-508, 406, 332)
(-330, 707, -663)
(836, 538, 409)
(-20, 1233, -181)
(695, 1933, 703)
(-812, -728, -591)
(-487, 402, 391)
(-259, 678, -532)
(-1465, -806, 344)
(-1602, -804, 466)
(-522, -438, 589)
(-508, 406, 332)
(-1795, -876, -487)
(-1113, -4, -160)
(-639, -447, 471)
(-1997, 817, -459)
(-449, 386, 511)
(-2018, 862, -621)
(-1625, -733, 279)
(-1790, -856, -485)
(-529, -401, 536)
(-1885, 389, 235)
(-1962, 840, -504)
(-330, 707, -663)
(-1752, 342, 307)
(-1902, -774, -538)
(-808, -734, -657)
(-326, 616, -504)
(-1926, 339, 384)
(-797, -541, -583)
(616, -303, -1698)
(697, 633, -1874)
(590, -448, -1670)
(-330, 707, -663)
(-514, -352, -1688)
(-382, 375, -1981)
(571, -378, -1672)
(652, -513, -789)
(878, 574, -722)
(687, 564, -674)
(-326, 616, -504)
(722, 545, -708)
(38, -33, -1364)
(-808, -734, -657)
(-28, 75, -1213)
(-797, -541, -583)
(-812, -728, -591)
(602, 594, -1814)
(518, -635, -807)
(-356, -340, -1718)
(-532, 349, -1978)
(-467, 371, -1914)
(641, 588, -1959)
(-259, 678, -532)
(670, -614, -747)
(-443, -368, -1598)
(597, 711, 1594)
(2133, 819, 1576)
(587, -480, 480)
(533, -501, 495)
(702, 627, 1533)
(1873, 428, 672)
(2144, 867, 1533)
(2109, -774, 252)
(1949, -804, 294)
(1995, -866, 299)
(1872, 444, 678)
(682, -440, 1932)
(1774, 515, 579)
(1931, -653, 1587)
(1281, 50, 1178)
(735, -470, 492)
(2061, -739, 1537)
(2041, -719, 1610)
(616, 479, 1573)
(896, 574, 424)
(836, 538, 409)
(2053, 709, 1539)
(819, 586, 254)
(708, -442, 1960)
(825, -534, 1944)
(-444, -2053, 1807)
(743, -1689, 1536)
(581, -1994, 249)
(735, -470, 492)
(-460, -638, 1886)
(713, -1573, 1528)
(587, -480, 480)
(-504, -659, 1910)
(639, -1539, 1554)
(682, -440, 1932)
(-402, -2042, 1879)
(-522, -438, 589)
(-429, -1880, 252)
(825, -534, 1944)
(-495, -1921, 1857)
(533, -501, 495)
(131, -1285, 1095)
(-403, -1964, 404)
(4, -1160, 1038)
(708, -442, 1960)
(-444, -2048, 348)
(-639, -447, 471)
(-396, -640, 1829)
(415, -2030, 339)
(-529, -401, 536)
(408, -1954, 217)
(1949, -804, 294)
(825, -534, 1944)
(1995, -866, 299)
(1707, -1752, 1567)
(1931, -653, 1587)
(2061, -739, 1537)
(533, -501, 495)
(587, -480, 480)
(735, -470, 492)
(1343, -1251, 1194)
(682, -440, 1932)
(1915, -1829, 406)
(743, -1689, 1536)
(1677, -1624, 1483)
(2109, -774, 252)
(2041, -719, 1610)
(639, -1539, 1554)
(713, -1573, 1528)
(1714, -1637, 1513)
(415, -2030, 339)
(708, -442, 1960)
(581, -1994, 249)
(1208, -1146, 1055)
(2081, -1776, 444)
(408, -1954, 217)
(2005, -1981, 449)
(-674, -356, 2985)
(825, -534, 1944)
(-504, -659, 1910)
(-507, -1909, 2858)
(-495, -1921, 1857)
(713, -1573, 1528)
(843, -1717, 2908)
(-460, -638, 1886)
(535, -451, 2725)
(-592, -1968, 2850)
(-30, -1215, 2244)
(755, -1742, 2760)
(-734, -423, 2992)
(682, -440, 1932)
(708, -442, 1960)
(-402, -2042, 1879)
(805, -1741, 2802)
(457, -495, 2688)
(743, -1689, 1536)
(-522, -1994, 2660)
(155, -1136, 2388)
(-396, -640, 1829)
(639, -1539, 1554)
(-444, -2053, 1807)
(-733, -323, 3089)
(511, -544, 2619)
(-444, -2053, 1807)
(-495, -1921, 1857)
(743, -1689, 1536)
(-444, -2048, 348)
(-403, -1964, 404)
(692, -3179, 767)
(408, -1954, 217)
(-554, -3130, 541)
(-402, -2042, 1879)
(-450, -3171, 489)
(120, -2499, 1094)
(-493, -3062, 403)
(535, -3238, 745)
(641, -3229, 1635)
(713, -1573, 1528)
(-539, -2867, 1560)
(623, -3104, 1733)
(32, -2343, 1194)
(525, -3133, 1606)
(669, -3209, 793)
(581, -1994, 249)
(-441, -2871, 1469)
(639, -1539, 1554)
(415, -2030, 339)
(-645, -2856, 1473)
(-429, -1880, 252)
(1949, -804, 294)
(825, -534, 1944)
(1995, -866, 299)
(1707, -1752, 1567)
(1931, -653, 1587)
(2061, -739, 1537)
(533, -501, 495)
(587, -480, 480)
(735, -470, 492)
(1343, -1251, 1194)
(682, -440, 1932)
(1915, -1829, 406)
(743, -1689, 1536)
(1677, -1624, 1483)
(2109, -774, 252)
(2041, -719, 1610)
(639, -1539, 1554)
(713, -1573, 1528)
(1714, -1637, 1513)
(415, -2030, 339)
(708, -442, 1960)
(581, -1994, 249)
(1208, -1146, 1055)
(2081, -1776, 444)
(408, -1954, 217)
(2005, -1981, 449)
(-1687, -700, 1683)
(-639, -447, 471)
(-429, -1880, 252)
(-522, -438, 589)
(-1064, -1178, 1067)
(-402, -2042, 1879)
(-1472, -1922, 1763)
(-1465, -806, 344)
(-1577, -1788, 1737)
(-1231, -1108, 1133)
(-1745, -1693, 640)
(-504, -659, 1910)
(-1775, -1652, 800)
(-460, -638, 1886)
(-444, -2053, 1807)
(-1625, -733, 279)
(-1762, -1798, 753)
(-529, -401, 536)
(-1602, -804, 466)
(-403, -1964, 404)
(-1717, -676, 1547)
(-495, -1921, 1857)
(-1692, -700, 1443)
(-1493, -1826, 1692)
(-396, -640, 1829)
(-444, -2048, 348)
(-532, 349, -1978)
(-797, -541, -583)
(-1132, -47, -1301)
(-1997, 817, -459)
(-356, -340, -1718)
(-326, 616, -504)
(-330, 707, -663)
(-2018, 862, -621)
(-467, 371, -1914)
(-1787, -555, -2092)
(-1711, 501, -1993)
(-812, -728, -591)
(-1616, 529, -1887)
(-259, 678, -532)
(-1795, -876, -487)
(-1962, 840, -504)
(-1751, -345, -2134)
(-1790, -856, -485)
(-808, -734, -657)
(-1718, -497, -2180)
(-1671, 539, -2105)
(-443, -368, -1598)
(-514, -352, -1688)
(-1902, -774, -538)
(-382, 375, -1981)
(-2963, -439, -506)
(-1602, -804, 466)
(-1926, 339, 384)
(-3217, 325, 611)
(-1625, -733, 279)
(-2636, -422, 349)
(-3124, 765, -887)
(-1790, -856, -485)
(-2644, -618, 374)
(-1465, -806, 344)
(-1885, 389, 235)
(-3136, 688, -710)
(-3130, 400, 548)
(-1962, 840, -504)
(-3145, 453, 692)
(-2018, 862, -621)
(-3118, -376, -486)
(-1752, 342, 307)
(-3036, -449, -584)
(-3188, 704, -850)
(-1902, -774, -538)
(-1997, 817, -459)
(-2323, -32, -140)
(-2642, -434, 465)
(-1795, -876, -487)
(-1718, -497, -2180)
(-3188, 704, -850)
(-2238, 24, -1208)
(-1795, -876, -487)
(-2795, -418, -1671)
(-3136, 688, -710)
(-3036, -449, -584)
(-3124, 765, -887)
(-1997, 817, -459)
(-3122, 523, -2156)
(-1711, 501, -1993)
(-3009, 586, -2149)
(-3118, -376, -486)
(-1671, 539, -2105)
(-2375, -81, -1326)
(-2840, -327, -1697)
(-2018, 862, -621)
(-1616, 529, -1887)
(-3084, 473, -2133)
(-1751, -345, -2134)
(-1787, -555, -2092)
(-1962, 840, -504)
(-1790, -856, -485)
(-1902, -774, -538)
(-2913, -489, -1710)
(-2963, -439, -506)
(-443, -368, -1598)
(-1616, 529, -1887)
(-514, -352, -1688)
(-494, 400, -3036)
(-532, 349, -1978)
(-1751, -345, -2134)
(-1199, 75, -2584)
(-1904, 584, -3032)
(-1055, 32, -2467)
(-356, -340, -1718)
(-1671, 539, -2105)
(-610, -561, -3315)
(-2009, 621, -3019)
(-389, 400, -3188)
(-1711, 501, -1993)
(-1494, -563, -2940)
(-338, 332, -3043)
(-467, 371, -1914)
(-671, -574, -3145)
(-1787, 577, -3032)
(-1718, -497, -2180)
(-560, -646, -3229)
(-1787, -555, -2092)
(-382, 375, -1981)
(-1553, -565, -3001)
(-1501, -540, -2796)
(616, -303, -1698)
(697, 633, -1874)
(590, -448, -1670)
(-330, 707, -663)
(-514, -352, -1688)
(-382, 375, -1981)
(571, -378, -1672)
(652, -513, -789)
(878, 574, -722)
(687, 564, -674)
(-326, 616, -504)
(722, 545, -708)
(38, -33, -1364)
(-808, -734, -657)
(-28, 75, -1213)
(-797, -541, -583)
(-812, -728, -591)
(602, 594, -1814)
(518, -635, -807)
(-356, -340, -1718)
(-532, 349, -1978)
(-467, 371, -1914)
(641, 588, -1959)
(-259, 678, -532)
(670, -614, -747)
(-443, -368, -1598)
(743, -1689, 1536)
(755, -1742, 2760)
(1193, -1120, 2311)
(1646, -446, 2783)
(1713, -1913, 2681)
(639, -1539, 1554)
(1712, -1786, 2711)
(2041, -719, 1610)
(1931, -653, 1587)
(843, -1717, 2908)
(1707, -1752, 1567)
(713, -1573, 1528)
(511, -544, 2619)
(457, -495, 2688)
(1672, -331, 2727)
(825, -534, 1944)
(2061, -739, 1537)
(1720, -1728, 2656)
(535, -451, 2725)
(1677, -1624, 1483)
(1359, -1278, 2217)
(1714, -1637, 1513)
(805, -1741, 2802)
(1619, -413, 2815)
(682, -440, 1932)
(708, -442, 1960)
(-444, -2053, 1807)
(-1443, -1808, 2674)
(-1455, -1848, 2868)
(-1577, -1788, 1737)
(-1717, -676, 1547)
(-1493, -625, 2732)
(-1687, -700, 1683)
(-507, -1909, 2858)
(-734, -423, 2992)
(-1472, -1922, 1763)
(-1530, -1768, 2791)
(-1041, -1180, 2329)
(-402, -2042, 1879)
(-396, -640, 1829)
(-522, -1994, 2660)
(-674, -356, 2985)
(-592, -1968, 2850)
(-733, -323, 3089)
(-1201, -1268, 2255)
(-1466, -624, 2792)
(-1630, -648, 2802)
(-1692, -700, 1443)
(-460, -638, 1886)
(-495, -1921, 1857)
(-1493, -1826, 1692)
(-504, -659, 1910)
(-2646, -1907, 1772)
(-3125, -605, 1722)
(-2636, -422, 349)
(-2644, -618, 374)
(-1745, -1693, 640)
(-1692, -700, 1443)
(-1625, -733, 279)
(-1687, -700, 1683)
(-3073, -563, 1828)
(-2711, -1875, 1736)
(-2691, -1876, 1697)
(-1762, -1798, 753)
(-2301, -1215, 1073)
(-1775, -1652, 800)
(-1472, -1922, 1763)
(-1717, -676, 1547)
(-1465, -806, 344)
(-2642, -434, 465)
(-1602, -804, 466)
(-1577, -1788, 1737)
(-3116, -408, 1785)
(-2897, -2086, 459)
(-1493, -1826, 1692)
(-2856, -1958, 458)
(-2963, -1928, 501)
(-4233, -632, 680)
(-3118, -376, -486)
(-2644, -618, 374)
(-4313, -533, 684)
(-3916, -900, -444)
(-3145, 453, 692)
(-3217, 325, 611)
(-3136, 688, -710)
(-4206, 684, -655)
(-3944, -899, -479)
(-2642, -434, 465)
(-4318, 738, 250)
(-4173, 739, -474)
(-4243, 879, 320)
(-2963, -439, -506)
(-3036, -449, -584)
(-3579, 46, -109)
(-2636, -422, 349)
(-3975, -862, -495)
(-4385, 839, 218)
(-3124, 765, -887)
(-3188, 704, -850)
(-4252, -667, 719)
